"ID (do not edit)","Where it appears","TEXT — edit this column","Notes"
"credits.guangongWho","Credits panel","EinScan Pro HD statue of Guan Gong · Sketchfab",""
"credits.guangongLink","Credits panel","sketchfab.com · statue-of-guan-gong",""
"credits.encik","Credits panel","The audience",""
"credits.encikWho","Credits panel","Encik Lim Cheng Teck, duduk · Sketchfab",""
"credits.encikLink","Credits panel","sketchfab.com · encik-lim-cheng-teck-duduk",""
"credits.tangki","Credits panel","The tang-ki",""
"credits.tangkiWho","Credits panel","Old man, rigged · Sketchfab",""
"credits.tangkiLink","Credits panel","sketchfab.com · old-man-rigged-3d-model",""
"credits.boy","Credits panel","The boy in the crowd",""
"credits.boyWho","Credits panel","Chinese boy · Sketchfab",""
"credits.boyLink","Credits panel","sketchfab.com · chinese-boy",""
"credits.bed","Credits panel","The bed",""
"credits.bedWho","Credits panel","Old bed · Sketchfab",""
"credits.bedLink","Credits panel","sketchfab.com · old-bed",""
"credits.ward","Credits panel","The wardrobe",""
"credits.wardWho","Credits panel","Wardrobe · Sketchfab",""
"credits.wardLink","Credits panel","sketchfab.com · wardrobe",""
"credits.table","Credits panel","The study table",""
"credits.tableWho","Credits panel","Study table · Sketchfab",""
"credits.tableLink","Credits panel","sketchfab.com · study-table",""
"credits.deskchair","Credits panel","The desk chair",""
"credits.deskchairWho","Credits panel","Chair · Sketchfab",""
"credits.deskchairLink","Credits panel","sketchfab.com · chair",""
"credits.curtain","Credits panel","The curtain",""
"credits.curtainWho","Credits panel","Curtain · Sketchfab",""
"credits.curtainLink","Credits panel","sketchfab.com · curtain",""
"credits.stand","Credits panel","The man at the tent edge",""
"credits.standWho","Credits panel","Standing man · Sketchfab",""
"credits.standLink","Credits panel","sketchfab.com · standing-man",""
"credits.shrine","Credits panel","The second altar figure",""
"credits.shrineWho","Credits panel","Seated shrine figure with sword, Thailand · Sketchfab",""
"credits.shrineLink","Credits panel","sketchfab.com · seated-shrine-figure-with-sword-thailand",""
"credits.altar","Credits panel","The home altars",""
"credits.altarWho","Credits panel","Vietnamese altar · Sketchfab",""
"credits.altarLink","Credits panel","sketchfab.com · vietnamese-altar",""
"credits.sofa","Credits panel","The living room sofa",""
"credits.sofaWho","Credits panel","Sofa · Sketchfab",""
"credits.sofaLink","Credits panel","sketchfab.com · sofa",""
"credits.bunk","Credits panel","The bunk beds",""
"credits.bunkWho","Credits panel","Bunk bed · Sketchfab",""
"credits.bunkLink","Credits panel","sketchfab.com · bunk-bed",""
"credits.flash","Credits panel","The flashlight",""
"credits.flashWho","Credits panel","Flashlight · Sketchfab",""
"credits.flashLink","Credits panel","sketchfab.com · flashlight",""
"credits.kamaz","Credits panel","The tonner",""
"credits.kamazWho","Credits panel","Kamaz 5330 · Sketchfab",""
"credits.kamazLink","Credits panel","sketchfab.com · kamaz-5330",""
"credits.forest","Credits panel","The forest and its road",""
"credits.forestWho","Credits panel","A forest 3 with a road at night for game · Sketchfab",""
"credits.forestLink","Credits panel","sketchfab.com · a-forest-3-with-a-road-at-night-for-game",""
"credits.staff","Credits panel","The cookhouse staff",""
"credits.staffWho","Credits panel","Cafe staff uniform portrait · Sketchfab",""
"credits.staffLink","Credits panel","sketchfab.com · cafe-staff-uniform-portrait",""
"credits.warmer","Credits panel","The food at the servery",""
"credits.warmerWho","Credits panel","Buffets food warmer, foods and plates · Sketchfab",""
"credits.warmerLink","Credits panel","sketchfab.com · buffets-food-warmer-foods-and-plates",""
"credits.teddy","Credits panel","The toy in the prologue",""
"credits.teddyWho","Credits panel","Teddybear toy · Sketchfab",""
"credits.teddyLink","Credits panel","sketchfab.com · teddybear-toy",""
"credits.leaf","Credits panel","The leaf in the prologue",""
"credits.leafWho","Credits panel","Birch leaf · popovs · Sketchfab (CC BY 4.0)",""
"credits.leafLink","Credits panel","sketchfab.com · birch-leaf",""
"credits.tree1","Credits panel","The trees (1 of 3)",""
"credits.tree1Who","Credits panel","Realistic tree · Sketchfab",""
"credits.tree1Link","Credits panel","sketchfab.com · realistic-tree",""
"credits.tree2","Credits panel","The trees (2 of 3)",""
"credits.tree2Who","Credits panel","Oak tree · Sketchfab",""
"credits.tree2Link","Credits panel","sketchfab.com · oak-tree",""
"credits.tree3","Credits panel","The trees (3 of 3)",""
"credits.tree3Who","Credits panel","Trees low poly · Sketchfab",""
"credits.tree3Link","Credits panel","sketchfab.com · trees-low-poly",""
"credits.meshy","Credits panel","The tent crowd and the woman at the burner",""
"credits.meshyWho","Credits panel","Three seated characters and a scolding granny · Meshy AI (CC0)",""
"credits.meshyLink","Credits panel","meshy.ai",""
"credits.rifle","Credits panel","The rifle",""
"credits.rifleWho","Credits panel","KRISS Vector, animated · Sketchfab",""
"credits.rifleLink","Credits panel","sketchfab.com · kriss-vector-animated-free",""
"credits.muzzle","Credits panel","The muzzle flash",""
"credits.muzzleWho","Credits panel","Muzzle meshes · Sketchfab",""
"credits.muzzleLink","Credits panel","sketchfab.com · muzzle-meshes",""
"credits.ammo","Credits panel","The ammunition on the range",""
"credits.ammoWho","Credits panel","Ammo crate, and a 5.56 mm ammo pickup · Sketchfab",""
"credits.ammoLink","Credits panel","sketchfab.com · ammo-crate",""
"credits.ammo2Link","Credits panel","sketchfab.com · 556mm-ammo-pickup",""
"credits.anim","Credits panel","Animation, two of the crowd, and the soldiers’ takes",""
"credits.animWho","Credits panel","The mother’s takes, two seated characters, and the recruits’ takes · Mixamo",""
"credits.animLink","Credits panel","mixamo.com",""
"credits.footer","Credits panel","Everything else in the scenes are generated in code.","Last line of the credits"
"chapter.loading","Chapter card","Loading…",""
"hud.sanity","HUD (always on screen)","Sanity","Also names it on the outcome card"
"hud.awareness","HUD (always on screen)","Awareness","Also names it on the outcome card"
"hud.wisdom","HUD (always on screen)","Wisdom","Also names it on the outcome card"
"hud.ghostAlarm","HUD (always on screen)","Ghost spotted!","First half of the red warning"
"hud.ghostWarning","HUD (always on screen)","Sanity level dropping until you take action.","Second half of the red warning"
"hud.presenceAlarm","HUD (always on screen)","Something is here.",""
"hud.objective","HUD (always on screen)","Objective",""
"hud.objDone","HUD (always on screen)","OBJECTIVE COMPLETE",""
"hud.torch","HUD (always on screen)","Torch",""
"hud.torchKey","HUD (always on screen)","F",""
"hud.fire","HUD (always on screen)","FIRE",""
"hud.fireKey","HUD (always on screen)","Space",""
"hud.reload","HUD (always on screen)","Reload",""
"hud.reloadKey","HUD (always on screen)","R",""
"hud.aim","HUD (always on screen)","AIM",""
"hud.aimKey","HUD (always on screen)","Q",""
"event.tap","","TAP",""
"event.timed","","WAIT FOR IT",""
"event.go","","NOW",""
"event.mash","","PRESS FAST",""
"event.hold","","HOLD STILL",""
"event.stabilise","","HOLD STEADY",""
"event.heartbeat","","TAP ON THE BEAT",""
"event.focus","","TAP THE LIGHT",""
"event.sequence","","TAP EACH ONE",""
"event.match","","DRAG EACH ITEM TO ITS PLACE",""
"event.matchOk","","MATCHED",""
"event.matchBad","","WRONG ITEM",""
"event.hit","","GOOD",""
"event.miss","","MISSED",""
"event.perfect","","PERFECT",""
"event.great","","EXCELLENT",""
"event.good","","GOOD TIMING",""
"event.slight","","SLIGHT MISS",""
"event.missed","","MISSED — SANITY LOST",""
"event.broken","","TOO LATE — SANITY LOST",""
"event.start","","START",""
"event.ready","","BRIEFING",""
"card.conduct","Outcome + teaching card — under the stat rows","What you did",""
"card.ward","Outcome + teaching card — under the stat rows","Amulet −{n}",""
"decide.clock","Decision panel","It is still coming",""
"world.burning","In the world","Something is burning ahead...",""
"world.interactKey","In the world","E","Keycap shown on desktop — keep it short"
"world.interactKeyTouch","In the world","Tap","Keycap shown on phones — keep it short"
"world.interactText","In the world","Examine the pile of hell notes",""
"world.interactTextTouch","In the world","the pile of hell notes",""
"world.hintWalk","In the world","Walk toward the light",""
"world.hintPhone","In the world","Left thumb walks · right thumb looks",""
"world.hintMouseTouch","In the world","W A S D to walk · move the mouse to look · touch works too",""
"world.hintLocked","In the world","W A S D to walk · move the mouse to look",""
"world.hintEdges","In the world","W A S D to walk · move the mouse to look",""
"world.actHintTouch","In the world","tap the glowing pile","Tail of the hint line, phones"
"world.actHintKey","In the world","E at the glowing pile","Tail of the hint line, desktop"
"world.actLineTouch","In the world","Tap the glowing pile of notes to look again","After stepping back, phones"
"world.actLineKey","In the world","Press E at the glowing pile to look again","After stepping back, desktop"
"cine.skip","Cutscenes","Skip ▸",""
"decide.label","Decision panel","Decision",""
"decide.stepBack","Decision panel","Step back ✕",""
"result.label","Outcome + teaching card","Outcome",""
"result.teachingLabel","Outcome + teaching card","Master Z’s teaching",""
"result.next","Outcome + teaching card","Continue",""
"complete.label","Finished the chapter","Case file complete",""
"complete.sealed","Finished the chapter","Sealed",""
"complete.coreLabel","Finished the chapter","Core lesson",""
"complete.again","Finished the chapter","Continue",""
"lost.label","Lost your nerve","Case failed",""
"lost.sealed","Lost your nerve","Lost",""
"lost.say","Lost your nerve","Your sanity has shattered. You've seen what no mind was meant to endure.",""
"lost.teachingLabel","Lost your nerve","Master Z’s teaching",""
"lost.teaching","Lost your nerve","Fear is not the danger. Facing what terrifies you...and doing nothing—is.",""
"lost.retry","Lost your nerve","Retry",""
"newgame.heading","Starting over — the confirmation","Start a new game?","Shown when the player asks to start over"
"newgame.body","Starting over — the confirmation","Your saved progress will be erased and you will begin again from the first chapter.","The warning under it"
"newgame.yes","Starting over — the confirmation","Start over","Erases the save and starts again"
"newgame.no","Starting over — the confirmation","Keep playing","Backs out and keeps the save"
"menu.button","The pause menu (M, or the gear button)","Menu","The label beside the gear button, desktop only"
"menu.buttonKey","The pause menu (M, or the gear button)","M","The keycap on that label — keep it short"
"menu.heading","The pause menu (M, or the gear button)","Paused",""
"menu.resume","The pause menu (M, or the gear button)","Return to the game","Closes the menu and carries on"
"menu.chapters","The pause menu (M, or the gear button)","Episodes and chapters","Opens the chapter selector"
"menu.toTitle","The pause menu (M, or the gear button)","Back to the title screen","Saves where you stand and goes to the title screen"
"chapters.heading","The chapter selector","Episodes",""
"chapters.hint","The chapter selector","Pick an episode, then a chapter you have reached, to play it again from its opening.","The line under the heading"
"chapters.locked","The chapter selector","Not yet reached","Shown in place of a chapter name you have not reached yet"
"chapters.close","The chapter selector","Close ✕",""
"chapters.ask","The chapter selector","Play {chapter} from its beginning? Your current place in the story will be replaced.","Asked before replaying a chapter — {chapter} is filled in for you"
"chapters.yes","The chapter selector","Play it","Confirms the replay"
"chapters.no","The chapter selector","Back","Backs out to the list"
"chapters.unwritten","The chapter selector","Not yet written","Shown in place of a chapter that is not written yet"
"chapters.episode","The chapter selector","Episode {n}","The name of an episode tab, for screen readers — {n} is filled in for you"
"chapters.chapter","The chapter selector","Chapter {n}","The label of a chapter that is not written yet — {n} is filled in for you"
"chapters.inProgress","The chapter selector","In progress","The word beside a chapter you have reached but not finished, and under an episode you are partway through"
"chapters.here","The chapter selector","You are here","The word beside the chapter you are in right now"
"chapters.progress","The chapter selector","{n} of {m} chapters completed","The line under the case name in the selector — {n} and {m} are filled in for you"
"chapters.completed","The chapter selector","Completed",""
"chapters.play","The chapter selector","Play ▸",""
"episode.label","The episode-complete card (v6.3)","Episode complete","The small line above the big rank"
"episode.stamp","The episode-complete card (v6.3)","Case closed","The red stamp across the rank — keep it short"
"episode.scoreLabel","The episode-complete card (v6.3)","Episode score","Beside the episode's average score"
"episode.tallyLabel","The episode-complete card (v6.3)","Five chapters, tallied","Above the row of five chapter results"
"episode.mapLabel","The episode-complete card (v6.3)","The ten cases","Above the trail of ten cases"
"episode.unlocked","The episode-complete card (v6.3)","Unlocked","The small flag on the next case in the trail"
"episode.next","The episode-complete card (v6.3)","Next · {episode}","Under the trail when the next case exists — {episode} is filled in for you"
"episode.nextUnwritten","The episode-complete card (v6.3)","{episode} is unlocked. It is not yet written — come back for it.","Under the trail when the next case is not written yet — {episode} is filled in for you"
"episode.allDone","The episode-complete card (v6.3)","Every case is closed.","Under the trail after the tenth case"
"episode.continue","The episode-complete card (v6.3)","Continue","The button when the next case exists"
"episode.toTitle","The episode-complete card (v6.3)","Back to the title screen","The button when it does not"
"ep1.label","The episodes — the ten case files (v6.0)","Episode 1","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep1.title","The episodes — the ten case files (v6.0)","The Hell Note I Should Never Have Taken","The name of the case — shown under the episode tabs in the selector"
"ep2.label","The episodes — the ten case files (v6.0)","Episode 2","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep2.title","The episodes — the ten case files (v6.0)","The 3 AM Shower & The Ghost Cyclist","The name of the case — shown under the episode tabs in the selector"
"ep3.label","The episodes — the ten case files (v6.0)","Episode 3","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep3.title","The episodes — the ten case files (v6.0)","The Room That Didn't Want Us There","The name of the case — shown under the episode tabs in the selector"
"ep4.label","The episodes — the ten case files (v6.0)","Episode 4","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep4.title","The episodes — the ten case files (v6.0)","The Love Spell That Followed Me Home","The name of the case — shown under the episode tabs in the selector"
"ep5.label","The episodes — the ten case files (v6.0)","Episode 5","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep5.title","The episodes — the ten case files (v6.0)","Not Every Master Should Be Trusted","The name of the case — shown under the episode tabs in the selector"
"ep6.label","The episodes — the ten case files (v6.0)","Episode 6","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep6.title","The episodes — the ten case files (v6.0)","The Ghost Clinging To Her Back","The name of the case — shown under the episode tabs in the selector"
"ep7.label","The episodes — the ten case files (v6.0)","Episode 7","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep7.title","The episodes — the ten case files (v6.0)","Spiritual Disturbance After A Crematorium Visit","The name of the case — shown under the episode tabs in the selector"
"ep8.label","The episodes — the ten case files (v6.0)","Episode 8","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep8.title","The episodes — the ten case files (v6.0)","The Toilet Possession: When Belief Isn't Enough","The name of the case — shown under the episode tabs in the selector"
"ep9.label","The episodes — the ten case files (v6.0)","Episode 9","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep9.title","The episodes — the ten case files (v6.0)","The Corner The Dog Wouldn't Go Near","The name of the case — shown under the episode tabs in the selector"
"ep10.label","The episodes — the ten case files (v6.0)","Episode 10","The line above ""Chapter N"" on the chapter card, and the heading under the episode tabs"
"ep10.title","The episodes — the ten case files (v6.0)","The Mirror That Wouldn't Stop Banging","The name of the case — shown under the episode tabs in the selector"
"inv.button","Equipment panel","Inventory","The label beside the button, desktop only"
"inv.buttonKey","Equipment panel","I","The keycap on that label — keep it short"
"inv.title","Equipment panel","Equipment",""
"inv.close","Equipment panel","Close ✕","The button that shuts the panel"
"inv.worn","Equipment panel","Equipped",""
"inv.carried","Equipment panel","Bag",""
"inv.empty","Equipment panel","Nothing selected","Shown when no item is selected"
"inv.emptyDesc","Equipment panel","Tap an item to look at it.","The line under it"
"inv.hintTouch","Equipment panel","Tap an item, then tap where it goes · double-tap to equip","The how-to line, phones"
"inv.hintDesktop","Equipment panel","Drag items, or click it and click where it goes · double-click to equip · I or Esc closes","The how-to line, desktop"
"inv.zoom","Equipment panel","Look closer","Read aloud for the magnifying-glass button — never seen"
"inv.zoomClose","Equipment panel","Close ✕","Closes the big item view"
"inv.zoomHint","Equipment panel","Drag to turn it · pinch or scroll to zoom","The how-to line under the big item view"
"slot.head","Equipment panel — slot names","Divine Eyes","On the figure's head"
"slot.neck","Equipment panel — slot names","Amulet","On the figure's neck"
"slot.body","Equipment panel — slot names","Sak Yant","On the figure's torso"
"slot.hand","Equipment panel — slot names","Hand","His hand — the torch goes here"
"item.torch.name","Equipment panel — the items","Torch",""
"item.torch.desc","Equipment panel — the items","Army issue. A wide, hard beam and a heavy switch.","Shown beside the torch in the equipment panel"
"item.rifle.name","Equipment panel — the items","Rifle",""
"item.rifle.desc","Equipment panel — the items","Army issue. Signed out to you by serial number, and signed back in the same way.",""
"item.amulet.name","Equipment panel — the items","LP Phiboon Second Batch Rian Amulet (Small)",""
"item.amulet.desc","Equipment panel — the items","Powerful against danger, negative energies, black magic and bad spirits. Provides +15 protection against sanity damage. Also boosts Metta Mahaniyom. Made by the powerful Luang Pu PhiBoon (PhiBoon Sae Tan), born during the reign of King Rama 4 in Thailand.",""
"inv.wardLeft","Equipment panel","Protection left: {n} of {max}",""
"inv.wardSpent","Equipment panel","Spent for this episode. It recharges when the next episode begins.",""
"unlock.label","The ITEM UNLOCKED splash (v14.7)","Item unlocked",""
"unlock.sub","The ITEM UNLOCKED splash (v14.7)","Added to your bag",""
"unlock.close","The ITEM UNLOCKED splash (v14.7)","Close",""
"a11y.soundButton","Screen readers only","Sound on or off","Never seen on screen"
"a11y.volumeSlider","Screen readers only","Game volume","Never seen on screen"
"a11y.closeButton","Screen readers only","Close","Never seen on screen"
"a11y.creditsButton","Screen readers only","Credits","Never seen on screen"
"a11y.menuButton","Screen readers only","Menu","Never seen on screen"
"ch1.title","CHAPTER 1 — the story itself","The Hell Note","Internal name of the chapter"
"ch1.cardLabel","CHAPTER 1 — the story itself","Chapter 1",""
"ch1.cardTitle","CHAPTER 1 — the story itself","The Hell Note<br>I Should Never Have Taken","Chapter card headline — <br> makes a line break"
"ch1.brief","CHAPTER 1 — the story itself","Late. A void deck you have walked a hundred times. Tonight someone has been burning for the dead, and a single note has drifted away from the pile, right into your path.","One-line summary of this chapter (not shown on screen yet)"
"ch1.prompt","CHAPTER 1 — the story itself","The hell note is right at your feet. What do you do?","The question above the four choices"
"ch1.core","CHAPTER 1 — the story itself","Never take what is not given.<br><i>Adinnādānā veramaṇī sikkhāpadaṃ samādiyāmi.</i>","The lesson on the final Sealed card"
"ch1.A.text","CHAPTER 1 — the story itself","Pick it up. It is only paper.",""
"ch1.A.say","CHAPTER 1 — the story itself","You bend down and take it. The warmth on your face is suddenly gone.",""
"ch1.A.teach","CHAPTER 1 — the story itself","What is burned is already given. Take it away, and the debt returns in another form.",""
"ch1.B.text","CHAPTER 1 — the story itself","Kick it and laugh. Superstition is for other people.",""
"ch1.B.say","CHAPTER 1 — the story itself","Your foot scuffs across the concrete. Behind you, something is on the chase.",""
"ch1.B.teach","CHAPTER 1 — the story itself","You do not have to believe in something to respect it. Disrespect may invite what belief never could.",""
"ch1.C.text","CHAPTER 1 — the story itself","Stop and look around before walking away.",""
"ch1.C.say","CHAPTER 1 — the story itself","Your intuition was right. This is not a place for you to be standing.",""
"ch1.C.teach","CHAPTER 1 — the story itself","Observation costs nothing and prevents the unintended. Awareness is the cheapest protection there is.",""
"ch1.D.text","CHAPTER 1 — the story itself","Recite a chant, then respectfully excuse yourself.",""
"ch1.D.say","CHAPTER 1 — the story itself","The lamp buzzes. A sense of peacefulness arise.",""
"ch1.D.teach","CHAPTER 1 — the story itself","Act wisely. Respect what you cannot see. It may matter more than you think.",""
"e2c1.title","EPISODE 2 · CHAPTER 1 — the story itself","The Worst Bed",""
"e2c1.cardLabel","EPISODE 2 · CHAPTER 1 — the story itself","Chapter 1",""
"e2c1.cardTitle","EPISODE 2 · CHAPTER 1 — the story itself","The Worst Bed",""
"e2c1.brief","EPISODE 2 · CHAPTER 1 — the story itself","Day one of Basic Military Training. Nine recruits to a bunk, and yours is the bottom bed nearest the toilet door. Nobody wanted it. Get through the day; then get through the night.",""
"e2c1.prompt","EPISODE 2 · CHAPTER 1 — the story itself","Three in the morning. The shower in the block next to your bed has turned itself on. What do you do?",""
"e2c1.core","EPISODE 2 · CHAPTER 1 — the story itself","Attention is not neutral. To acknowledge a presence is to open a connection that was not there. If nothing is asking anything of you, give it nothing.<br><i>What you attend to, attends to you.</i>",""
"e2c1.words.approach","EPISODE 2 · CHAPTER 1 — the story itself","your bed",""
"e2c1.words.act","EPISODE 2 · CHAPTER 1 — the story itself","E at your bed",""
"e2c1.words.actTouch","EPISODE 2 · CHAPTER 1 — the story itself","Tap your bed",""
"e2c1.words.interact","EPISODE 2 · CHAPTER 1 — the story itself","E at your bed",""
"e2c1.words.interactTouch","EPISODE 2 · CHAPTER 1 — the story itself","Tap your bed",""
"e2c1.words.presence","EPISODE 2 · CHAPTER 1 — the story itself","Something is in the block.",""
"e2c1.words.objArrive","EPISODE 2 · CHAPTER 1 — the story itself","Find your bed — bed one",""
"e2c1.words.objFallIn","EPISODE 2 · CHAPTER 1 — the story itself","FALL IN — on the yellow line",""
"e2c1.words.objLate","EPISODE 2 · CHAPTER 1 — the story itself","FALL IN — get to the line",""
"e2c1.words.objPunish","EPISODE 2 · CHAPTER 1 — the story itself","TWENTY PUSH-UPS — the whole section",""
"e2c1.words.objCount","EPISODE 2 · CHAPTER 1 — the story itself","REPORT STRENGTH — number off",""
"e2c1.words.objStandby","EPISODE 2 · CHAPTER 1 — the story itself","Back to your bed — standby bed",""
"e2c1.words.objStood","EPISODE 2 · CHAPTER 1 — the story itself","Stand by your bed — wait for orders",""
"e2c1.words.objBed","EPISODE 2 · CHAPTER 1 — the story itself","STANDBY BED — lay it out, fast",""
"e2c1.words.bedBrief","EPISODE 2 · CHAPTER 1 — the story itself","Drag each item on the left onto its place on the right. The faster you lay the whole set out, the better it is inspected — and every item put in the wrong place costs you.",""
"e2c1.words.objFree","EPISODE 2 · CHAPTER 1 — the story itself","Look around the bunk before lights out — check the toilet block",""
"e2c1.words.objWarn","EPISODE 2 · CHAPTER 1 — the story itself","Lights out is coming — get to your bed",""
"e2c1.words.objLights","EPISODE 2 · CHAPTER 1 — the story itself","Lights out",""
"e2c1.words.objFear","EPISODE 2 · CHAPTER 1 — the story itself","FEAR CONTROL — keep the beat",""
"e2c1.words.hotShower","EPISODE 2 · CHAPTER 1 — the story itself","Look into the shower block",""
"e2c1.words.hotBuddy","EPISODE 2 · CHAPTER 1 — the story itself","Talk to him",""
"e2c1.words.hotBunkmate","EPISODE 2 · CHAPTER 1 — the story itself","Ask him about bed one",""
"e2c1.words.evBed","EPISODE 2 · CHAPTER 1 — the story itself","STANDBY BED",""
"e2c1.words.evFear","EPISODE 2 · CHAPTER 1 — the story itself","FEAR CONTROL",""
"e2c1.words.noteOnTime","EPISODE 2 · CHAPTER 1 — the story itself","Fell in on time.",""
"e2c1.words.noteLate","EPISODE 2 · CHAPTER 1 — the story itself","Late to fall in. Push-ups.",""
"e2c1.words.noteBedOk","EPISODE 2 · CHAPTER 1 — the story itself","A good standby bed.",""
"e2c1.words.noteBedFail","EPISODE 2 · CHAPTER 1 — the story itself","The bunk did it again because of you.",""
"e2c1.words.item1","EPISODE 2 · CHAPTER 1 — the story itself","Towel",""
"e2c1.words.item2","EPISODE 2 · CHAPTER 1 — the story itself","Boots",""
"e2c1.words.item3","EPISODE 2 · CHAPTER 1 — the story itself","FAD kit",""
"e2c1.words.item4","EPISODE 2 · CHAPTER 1 — the story itself","Toggle rope",""
"e2c1.A.text","EPISODE 2 · CHAPTER 1 — the story itself","Get up and open the toilet door.",""
"e2c1.A.say","EPISODE 2 · CHAPTER 1 — the story itself","I got up and looked. I found water, and nothing else, and a corridor I did not like.",""
"e2c1.A.teach","EPISODE 2 · CHAPTER 1 — the story itself","Investigating can provide information, but moving straight toward uncertainty is not automatically the wisest first step.",""
"e2c1.B.text","EPISODE 2 · CHAPTER 1 — the story itself","Stay still and listen.",""
"e2c1.B.say","EPISODE 2 · CHAPTER 1 — the story itself","I stayed still and listened. What I heard was a sound. What it meant, I did not know yet.",""
"e2c1.B.teach","EPISODE 2 · CHAPTER 1 — the story itself","Hearing something frightening is an observation. Deciding what caused it is an interpretation.",""
"e2c1.C.text","EPISODE 2 · CHAPTER 1 — the story itself","Whisper to your bunkmate — ""You awake?""",""
"e2c1.C.say","EPISODE 2 · CHAPTER 1 — the story itself","I asked the one person who could tell me. He heard nothing. That was worth knowing.",""
"e2c1.C.teach","EPISODE 2 · CHAPTER 1 — the story itself","Check simple human explanations before building a more complicated interpretation.",""
"e2c1.D.text","EPISODE 2 · CHAPTER 1 — the story itself","It's a ghost — blanket over your head.",""
"e2c1.D.say","EPISODE 2 · CHAPTER 1 — the story itself","I decided what it was before I knew anything. Under the blanket, the water kept running.",""
"e2c1.D.teach","EPISODE 2 · CHAPTER 1 — the story itself","Fear is a signal, not proof.",""
"ch2.title","CHAPTER 2 — the story itself","The Presence",""
"ch2.cardLabel","CHAPTER 2 — the story itself","Chapter 2",""
"ch2.cardTitle","CHAPTER 2 — the story itself","The Presence<br>In My Own Room",""
"ch2.brief","CHAPTER 2 — the story itself","Days later. Your own bedroom, the fan turning, the streetlight coming through the window. Someone has been crying in this flat and it is not your mother. Tonight the room is not empty.",""
"ch2.prompt","CHAPTER 2 — the story itself","Something is in the gap between the bed and the wall. What do you do?",""
"ch2.core","CHAPTER 2 — the story itself","Know the edge of what you can handle. You do not have to suffer in silence.",""
"ch2.words.approach","CHAPTER 2 — the story itself","Something is not right in here...",""
"ch2.words.act","CHAPTER 2 — the story itself","E at the gap beside the bed",""
"ch2.words.actTouch","CHAPTER 2 — the story itself","tap the gap beside the bed",""
"ch2.words.interact","CHAPTER 2 — the story itself","Look into the gap beside the bed",""
"ch2.words.interactTouch","CHAPTER 2 — the story itself","the gap beside the bed",""
